çsáÇ,îNìx,èäëÆÉRÅ[Éh,íSìñé“ÉRÅ[Éh,îNåéì˙,äJénéûä‘,èIóπéûä‘,ÉIÅ[É_î‘çÜ,çÏã∆ãÊï™ÇP,çÏã∆ãÊï™ÇQ,çÏã∆ãÊï™ÇR,îıçl,íçï∂î‘çÜ,ãxåeéûä‘,é¿òJéûä‘
3,2016,3631,0046,2017/01/05,09:00,12:00,S089950-0,'1101,'90,',,A363117010012,0.00,3.00
4,2016,3631,0046,2017/01/05,12:00,12:50,S999999-0,'9196,'96,',ãxåe,A363117010012,0.75,0.00
5,2016,3631,0046,2017/01/05,12:50,17:30,S089950-0,'1101,'90,',,A363117010012,0.00,4.75
6,2016,3631,0046,2017/01/06,09:00,12:00,S089950-0,'1101,'90,',,A363117010012,0.00,3.00
7,2016,3631,0046,2017/01/06,12:00,12:50,S999999-0,'9196,'96,',ãxåe,A363117010012,0.75,0.00
8,2016,3631,0046,2017/01/06,12:50,17:30,S089950-0,'1101,'90,',,A363117010012,0.00,4.75
9,2016,3631,0046,2017/01/10,09:00,12:00,S089950-0,'1101,'90,',,A363117010012,0.00,3.00
10,2016,3631,0046,2017/01/10,12:00,12:50,S999999-0,'9196,'96,',ãxåe,A363117010012,0.75,0.00
11,2016,3631,0046,2017/01/10,12:50,17:30,S089950-0,'1101,'90,',,A363117010012,0.00,4.75
12,2016,3631,0046,2017/01/11,09:00,12:00,S089950-0,'1101,'90,',,A363117010012,0.00,3.00
13,2016,3631,0046,2017/01/11,12:00,12:50,S999999-0,'9196,'96,',ãxåe,A363117010012,0.75,0.00
14,2016,3631,0046,2017/01/11,12:50,17:30,S089950-0,'1101,'90,',,A363117010012,0.00,4.75
15,2016,3631,0046,2017/01/11,17:30,18:00,S999999-0,'9196,'96,',ãxåe,A363117010012,0.50,0.00
16,2016,3631,0046,2017/01/11,18:00,21:30,S089950-0,'1101,'90,',,A363117010012,0.00,3.50
17,2016,3631,0046,2017/01/12,09:00,12:00,S089950-0,'1101,'90,',,A363117010012,0.00,3.00
18,2016,3631,0046,2017/01/12,12:00,12:50,S999999-0,'9196,'96,',ãxåe,A363117010012,0.75,0.00
19,2016,3631,0046,2017/01/12,12:50,17:30,S089950-0,'1101,'90,',,A363117010012,0.00,4.75
20,2016,3631,0046,2017/01/12,17:30,18:00,S999999-0,'9196,'96,',ãxåe,A363117010012,0.50,0.00
21,2016,3631,0046,2017/01/12,18:00,22:30,S089950-0,'1101,'90,',,A363117010012,0.00,4.50
22,2016,3631,0046,2017/01/13,09:00,12:00,S089950-0,'1101,'90,',,A363117010012,0.00,3.00
23,2016,3631,0046,2017/01/13,12:00,12:50,S999999-0,'9196,'96,',ãxåe,A363117010012,0.75,0.00
24,2016,3631,0046,2017/01/13,12:50,17:30,S089950-0,'1101,'90,',,A363117010012,0.00,4.75
25,2016,3631,0046,2017/01/13,17:30,18:00,S999999-0,'9196,'96,',ãxåe,A363117010012,0.50,0.00
26,2016,3631,0046,2017/01/13,18:00,22:00,S089950-0,'1101,'90,',,A363117010012,0.00,4.00
27,2016,3631,0046,2017/01/16,09:00,12:00,S089950-0,'1101,'90,',,A363117010012,0.00,3.00
28,2016,3631,0046,2017/01/16,12:00,12:50,S999999-0,'9196,'96,',ãxåe,A363117010012,0.75,0.00
29,2016,3631,0046,2017/01/16,12:50,19:30,S089950-0,'1101,'90,',,A363117010012,0.00,6.75
30,2016,3631,0046,2017/01/17,09:00,12:00,S089950-0,'1101,'90,',,A363117010012,0.00,3.00
31,2016,3631,0046,2017/01/17,12:00,12:50,S999999-0,'9196,'96,',ãxåe,A363117010012,0.75,0.00
32,2016,3631,0046,2017/01/17,12:50,18:00,S089950-0,'1101,'90,',,A363117010012,0.00,5.25
33,2016,3631,0046,2017/01/18,09:00,12:00,S089950-0,'1101,'90,',,A363117010012,0.00,3.00
